id,vae_x,vae_y,vae_eventTags,vae_cluster_label,tft_x,tft_y,tft_eventTags,tft_cluster_label
69-2,1.815034,10.351716,Events::Vegetation::Tree,0,-9.273022,-3.5680087,Events::Vegetation::Tree,0
70-1,-0.71236956,10.434976,Events::Construction & Maintenance::Maintenance/r/nEvents::Equipment Failure::Equipment Failure/r/nEquipment::Underground Equipment::Elbow,0,-10.343997,-4.547294,Events::Construction & Maintenance::Maintenance/r/nEvents::Equipment Failure::Equipment Failure/r/nEquipment::Underground Equipment::Elbow,0
70-2,2.2611568,10.900192,Events::Construction & Maintenance::Maintenance/r/nEvents::Equipment Failure::Equipment Failure/r/nEquipment::Underground Equipment::Elbow,0,-9.134022,-3.3678699,Events::Construction & Maintenance::Maintenance/r/nEvents::Equipment Failure::Equipment Failure/r/nEquipment::Underground Equipment::Elbow,0
71-1,1.7715219,10.602351,Events::Vegetation::Tree/r/nEquipment::Overhead Equipment::Conductor,0,-9.217734,-4.577475,Events::Vegetation::Tree/r/nEquipment::Overhead Equipment::Conductor,0
71-2,4.180327,8.770873,Events::Vegetation::Tree/r/nEquipment::Overhead Equipment::Conductor,0,-8.480761,-2.2129135,Events::Vegetation::Tree/r/nEquipment::Overhead Equipment::Conductor,0
72-1,5.400556,4.374804,Events::Other::Unknown,0,-2.042705,-4.158558,Events::Other::Unknown,0
72-2,-3.525659,-3.9729934,Events::Other::Unknown,0,-1.9242314,-4.573106,Events::Other::Unknown,0
73-1,-2.96963,-3.8989117,Events::Protection Event::Fuse Blow/r/nEvents::Wildlife::Bird/r/nEquipment::Interrupting Device::Fuse/r/nEquipment::Transformer::Nonspecific Transformer,0,-2.0309777,-4.5113306,Events::Protection Event::Fuse Blow/r/nEvents::Wildlife::Bird/r/nEquipment::Interrupting Device::Fuse/r/nEquipment::Transformer::Nonspecific Transformer,0
73-2,-4.995125,-3.1875482,Events::Protection Event::Fuse Blow/r/nEvents::Wildlife::Bird/r/nEquipment::Interrupting Device::Fuse/r/nEquipment::Transformer::Nonspecific Transformer,0,-1.8358575,-4.960767,Events::Protection Event::Fuse Blow/r/nEvents::Wildlife::Bird/r/nEquipment::Interrupting Device::Fuse/r/nEquipment::Transformer::Nonspecific Transformer,0
74-1,0.18879515,2.1360984,State::Change State::Overload/r/nPhase::Three-phase::Phases ABC/r/nEquipment::Transformer::Nonspecific Transformer,0,-2.136002,-5.84303,State::Change State::Overload/r/nPhase::Three-phase::Phases ABC/r/nEquipment::Transformer::Nonspecific Transformer,0
75-1,3.1207361,9.818029,Events::System Event/Condition::Local Power Failure/r/nState::Change State::Power Failure,0,-11.459784,-2.0387676,Events::System Event/Condition::Local Power Failure/r/nState::Change State::Power Failure,0
75-2,4.88848,7.690157,Events::System Event/Condition::Local Power Failure/r/nState::Change State::Power Failure,0,-9.850985,-0.1706771,Events::System Event/Condition::Local Power Failure/r/nState::Change State::Power Failure,0
76-1,2.6562274,9.877616,Events::Equipment Failure::Nonspecific Equipment Failure,0,-11.631429,-2.2888644,Events::Equipment Failure::Nonspecific Equipment Failure,0
76-2,4.849756,7.913819,Events::Equipment Failure::Nonspecific Equipment Failure,0,-9.986715,-0.3528276,Events::Equipment Failure::Nonspecific Equipment Failure,0
77-1,0.9904469,10.799729,Events::Equipment Failure::Nonspecific Equipment Failure,0,-12.010867,-3.3283808,Events::Equipment Failure::Nonspecific Equipment Failure,0
77-2,3.7798874,9.740935,Events::Equipment Failure::Nonspecific Equipment Failure,0,5.1415324,-0.29545042,Events::Equipment Failure::Nonspecific Equipment Failure,0
78-1,5.0061426,7.326503,Events::Equipment Failure::Transformer Failure/r/nEquipment::Transformer::Nonspecific Transformer,0,5.028858,-0.029157791,Events::Equipment Failure::Transformer Failure/r/nEquipment::Transformer::Nonspecific Transformer,0
78-2,5.3247,4.478019,Events::Equipment Failure::Transformer Failure/r/nEquipment::Transformer::Nonspecific Transformer,0,5.0544524,0.07665045,Events::Equipment Failure::Transformer Failure/r/nEquipment::Transformer::Nonspecific Transformer,0
79-1,-5.291588,3.0673018,Conditions::Weather::High Winds/r/nConditions::Weather::Heavy Rain/r/nEquipment::Overhead Equipment::Conductor/r/nConditions::Equipment Conditions::Live wire on ground,0,5.521935,-1.5673429,Conditions::Weather::High Winds/r/nConditions::Weather::Heavy Rain/r/nEquipment::Overhead Equipment::Conductor/r/nConditions::Equipment Conditions::Live wire on ground,0
