id,sigTypeId,dataSource,deviceName,deviceType,waveDuration,waveStartTimestamp,waveEndTimestamp,eventStartTimestamp,samplingRate,faultType,description,dataType,eventTags,eventTagsBi,eventTags_color,embedding_x,embedding_y,embedding_coord,embedding_vectors,cluster_label,cluster_prob
317,1,Provider 3,fnet-pr-1463,Frequency Disturbance Recorder,179.9,2019-11-23T19:57:19Z,2019-11-23T20:00:18.900Z,2019-11-23T19:58:19Z,10.0,,,Phasor,Events::Fault::Unknown Fault,"[1, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",8.230916,2.3902836,"8.230916023254395,2.3902835845947266","-0.64211905,0.37024277,-0.10454635,0.31612855,0.97987056,-0.48168564,-0.28431344,0.59011394",3.0,0.9999971206558522
318,1,Provider 3,fnet-pr-1432,Frequency Disturbance Recorder,179.9,2019-12-11T23:48:02Z,2019-12-11T23:51:01.900Z,2019-12-11T23:49:02Z,10.0,,,Phasor,Events::Fault::Unknown Fault,"[1, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",-5.717559,-3.4343772,"-5.717558860778809,-3.4343771934509277","-0.6579038,0.33007142,-0.06661047,0.32371968,1.0399812,-0.499038,-0.26110342,0.58235204",0.0,0.9943144608092966
319,1,Provider 3,fnet-pr-1462,Frequency Disturbance Recorder,179.9,2020-02-01T17:03:03Z,2020-02-01T17:06:02.900Z,2020-02-01T17:04:03Z,10.0,,,Phasor,Events::Fault::Unknown Fault,"[1, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",-2.5504134,-3.8738358,"-2.5504133701324463,-3.873835802078247","-0.65685785,0.33321285,-0.07774916,0.32357883,1.0325723,-0.49331746,-0.27382508,0.58808804",0.0,0.9961621743327749
320,1,Provider 3,fnet-pr-1432,Frequency Disturbance Recorder,179.9,2019-12-14T17:58:24Z,2019-12-14T18:01:23.900Z,2019-12-14T17:59:24Z,10.0,,,Phasor,Events::Fault::Unknown Fault,"[1, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",6.254517,1.6599965,"6.254517078399658,1.659996509552002","-0.64830273,0.3556139,-0.08888818,0.31893232,1.0028776,-0.4908406,-0.2706628,0.5835613",3.0,0.9999523330648489
321,1,Provider 3,fnet-pr-1463,Frequency Disturbance Recorder,179.9,2019-11-22T11:51:07Z,2019-11-22T11:54:06.900Z,2019-11-22T11:52:07Z,10.0,,,Phasor,Events::Fault::Unknown Fault,"[1, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",-1.8205676,-3.4832485,"-1.8205676078796387,-3.483248472213745","-0.6559602,0.3358542,-0.07716654,0.3221194,1.0306787,-0.49299818,-0.2737076,0.5891247",0.0,0.9889840943501306
322,1,Provider 3,fnet-pr-1463,Frequency Disturbance Recorder,179.9,2019-11-22T11:16:37Z,2019-11-22T11:19:36.900Z,2019-11-22T11:17:37Z,10.0,,,Phasor,Events::Fault::Unknown Fault,"[1, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",4.194085,-1.0977241,"4.194085121154785,-1.0977240800857544","-0.65361345,0.34544104,-0.08206259,0.31866732,1.0180597,-0.48864907,-0.27808306,0.59022295",3.0,0.9463701219408186
323,1,Provider 3,fnet-pr-1463,Frequency Disturbance Recorder,179.9,2020-01-29T11:24:19Z,2020-01-29T11:27:18.900Z,2020-01-29T11:25:19Z,10.0,,,Phasor,Events::Fault::Unknown Fault,"[1, 0, 0]","(0.940015, 0.975158, 0.131326, 1.0)",1.1939452,-1.9839498,"1.1939451694488525,-1.9839497804641724","-0.655427,0.33968055,-0.079883486,0.32097128,1.0240635,-0.490978,-0.2759451,0.58788306",0.0,0.5524980953304481
324,1,Provider 3,fnet-pr-1462,Frequency Disturbance Recorder,179.9,2020-01-06T10:48:43Z,2020-01-06T10:51:42.900Z,2020-01-06T10:49:43Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",4.587039,0.40143305,"4.587038993835449,0.4014330506324768","-0.652535,0.3482757,-0.08316599,0.3186345,1.0138808,-0.4898169,-0.27458686,0.586833",3.0,0.998492410779015
325,1,Provider 3,fnet-pr-1462,Frequency Disturbance Recorder,179.9,2020-03-16T15:07:32Z,2020-03-16T15:10:31.900Z,2020-03-16T15:08:32Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-4.36593,-4.83404,"-4.365930080413818,-4.83404016494751","-0.6588489,0.32953975,-0.07040042,0.3225738,1.0387429,-0.4940318,-0.27301785,0.58850026",0.0,0.9996958378171283
326,1,Provider 3,fnet-pr-1428,Frequency Disturbance Recorder,179.9,2020-02-22T14:10:25Z,2020-02-22T14:13:24.900Z,2020-02-22T14:11:25Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.7177238,-1.8798325,"-0.7177237868309021,-1.8798325061798096","-0.6559855,0.3388045,-0.07645373,0.3205629,1.0267773,-0.49250293,-0.27268627,0.586797",0.0,0.6412265685661007
327,1,Provider 3,fnet-pr-1462,Frequency Disturbance Recorder,179.9,2019-12-03T15:58:32Z,2019-12-03T16:01:31.900Z,2019-12-03T15:59:32Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",1.7246715,-3.8535888,"1.724671483039856,-3.853588819503784","-0.6547577,0.34053493,-0.078936055,0.31982478,1.0255948,-0.48959023,-0.28080526,0.5934652",0.0,0.9962961345746368
328,1,Provider 3,fnet-pr-1463,Frequency Disturbance Recorder,179.9,2019-11-22T14:09:52Z,2019-11-22T14:12:51.900Z,2019-11-22T14:10:52Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-1.5796118,-5.414312,"-1.5796117782592773,-5.41431188583374","-0.6562946,0.33557087,-0.07426965,0.32082725,1.032052,-0.49149507,-0.27835676,0.59260464",0.0,0.9999659809516237
329,1,Provider 3,fnet-pr-1462,Frequency Disturbance Recorder,179.9,2019-12-06T14:56:41Z,2019-12-06T14:59:40.900Z,2019-12-06T14:57:41Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-3.3111477,-5.705329,"-3.311147689819336,-5.705328941345215","-0.6576859,0.33128253,-0.07244648,0.3221589,1.0372473,-0.49219793,-0.27829304,0.5928322",0.0,0.9999799906483192
330,1,Provider 3,fnet-pr-1428,Frequency Disturbance Recorder,179.9,2020-02-19T17:48:13Z,2020-02-19T17:51:12.900Z,2020-02-19T17:49:13Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",2.082881,-0.38906023,"2.082880973815918,-0.38906022906303406","-0.6537263,0.34282237,-0.07883397,0.3205735,1.0215737,-0.49237347,-0.27361485,0.5870403",3.0,0.9729989887383914
331,1,Provider 3,fnet-pr-1462,Frequency Disturbance Recorder,179.9,2020-01-08T02:18:14Z,2020-01-08T02:21:13.900Z,2020-01-08T02:19:14Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",4.461668,1.8206695,"4.461668014526367,1.8206695318222046","-0.65212274,0.34706146,-0.08689399,0.32266408,1.0112555,-0.49288213,-0.27047014,0.579718",3.0,0.999847032368591
332,1,Provider 3,fnet-pr-1462,Frequency Disturbance Recorder,179.9,2020-03-19T08:08:41Z,2020-03-19T08:11:40.900Z,2020-03-19T08:09:41Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",6.9699497,0.61418015,"6.969949722290039,0.6141801476478577","-0.65154946,0.35342273,-0.09170975,0.31661665,1.003481,-0.4830388,-0.28125,0.58949697",3.0,0.9997369910246631
333,1,Provider 3,fnet-pr-1428,Frequency Disturbance Recorder,179.9,2020-04-01T15:08:44Z,2020-04-01T15:11:43.900Z,2020-04-01T15:09:44Z,10.0,,,Phasor,State::Change State::Trip/r/nEquipment::Sources::Generator,"[0, 1, 0]","(0.050383, 0.029803, 0.527975, 1.0)",1.783833,-0.21121727,"1.7838330268859863,-0.2112172693014145","-0.65609413,0.34139967,-0.08096118,0.3194396,1.0208793,-0.48894328,-0.2731797,0.5858511",3.0,0.9768679703285633
